accounting,23.067836062848116
admin,34.02763186188677
agriculture,35.06802721088435
arch,19.703174603174602
arts,23.570101781170482
aviation,24.168646080760094
care,22.998666158536587
childcare,20.98497057492078
construction,24.911624871818773
customer,26.573862027109044
driver,22.151427878493905
education,20.014177157763413
engchem,23.70967741935484
engcivil,20.617103984450925
engelectric,18.23511111111111
engid,18.084876543209877
engmech,21.555205709487826
finance,21.14644513137558
food,17.83185630324242
hospitality,21.701476510067113
hr,27.416510976179357
install,20.56206581510403
insurance,20.908306769173073
legal,24.211626324487217
management,19.797279362972795
manufacturing,23.33692936634113
marketing,25.342860536004117
math,21.565269256987047
meddental,20.414277889355485
meddr,15.824706750881798
media,29.938095812718718
medinfo,31.611076148521082
mednurse,17.32746854834966
medtech,23.155055799797093
military,15.921397379912664
mining,14.27536231884058
personal,16.08760496302795
pharmacy,20.13569856273469
project,20.201798049573345
protective,27.561836720538253
realestate,23.826150593592455
retail,19.814786991712307
sales,19.23900964101476
sanitation,21.475265192822445
science,25.85228215767635
service,25.000468958551277
socialscience,29.72675828617623
sports,17.976082474226803
tech,20.075187969924812
techhelp,20.908375089477452
techinfo,21.434279051690634
techsoftware,18.27126697145067
therapy,16.88888888888889
transport,29.1832619107638
uncategorized,22.350733847783324
veterinary,20.44978838014621
warehouse,30.826623483109216
